Id,Sales
1,3987.66577148
2,7796.38769531
3,8905.85839844
4,6784.66113281
5,7264.55957031
6,5671.70410156
7,7350.49804688
8,8368.00683594
9,5284.40917969
10,5853.67285156
11,6927.20556641
12,8136.60742188
13,7350.34375
14,7702.20214844
15,5927.40527344
16,4622.26806641
17,5769.84570312
18,10068.9394531
19,9601.015625
20,10299.1230469
21,7063.21875
22,4484.74951172
23,5801.17382812
24,4241.78808594
25,8061.92236328
26,10253.3613281
27,10124.8994141
28,5604.42822266
29,4820.76367188
30,4376.171875
31,5062.79248047
32,11050.9677734
33,6680.06445312
34,5171.49902344
35,5603.2734375
36,7942.42382812
37,3513.96362305
38,6991.97998047
39,4496.69677734
40,7116.00390625
41,6292.27734375
42,5448.25048828
43,7754.48632812
44,7339.91943359
45,4896.70019531
46,6625.70800781
47,6956.82958984
48,10551.6826172
49,5989.77539062
50,8859.89550781
51,7094.00634766
52,9252.703125
53,6588.58886719
54,9027.71875
55,4797.03027344
56,4858.96142578
57,5947.70849609
58,5905.08105469
59,8508.98925781
60,7264.109375
61,5756.10351562
62,7850.75634766
63,6749.86376953
64,9464.89648438
65,4001.00927734
66,13246.8115234
67,4422.859375
68,5739.18505859
69,8079.35009766
70,4919.17138672
71,6174.09814453
72,6302.67480469
73,7468.44677734
74,5531.74121094
75,5451.66601562
76,7822.54736328
77,7713.16308594
78,6637.77050781
79,4963.02246094
80,6966.07226562
81,11175.5410156
82,6757.23925781
83,4642.48339844
84,6771.7890625
85,5791.49902344
86,5786.88232422
87,6937.95068359
88,3896.00048828
89,7383.67871094
90,6023.08447266
91,7215.51660156
92,6540.40185547
93,4186.71484375
94,5328.89160156
95,5309.56542969
96,7894.87158203
97,8168.02099609
98,5060.49414062
99,4490.28857422
100,7094.37841797
101,5822.63867188
102,6306.28271484
103,6757.88378906
104,6278.48242188
105,7313.16894531
106,5630.88769531
107,4565.07275391
108,6733.6015625
109,8047.45605469
110,8566.99511719
111,7931.21240234
112,8057.44091797
113,5560.10644531
114,8685.22167969
115,5427.73583984
116,7532.11523438
117,9154.41503906
118,6298.64208984
119,10183.25
120,7688.39599609
121,7545.04345703
122,5959.19628906
123,7211.80078125
124,7961.06591797
125,6745.98925781
126,4078.61108398
127,4967.50244141
128,7821.44287109
129,5567.72167969
130,4570.74609375
131,8213.76269531
132,6711.22998047
133,6012.88378906
134,5969.85791016
135,5425.48925781
136,7329.32763672
137,7177.45507812
138,6842.03710938
139,5330.30957031
140,5031.87890625
141,6337.22753906
142,3621.65161133
143,6181.34570312
144,5391.41015625
145,8538.04492188
146,5944.97460938
147,5852.04296875
148,10378.2539062
149,5022.07324219
150,4935.64990234
151,10062.5068359
152,7263.04248047
153,8627.14746094
154,7569.87597656
155,5559.6875
156,6329.77929688
157,4829.41162109
158,8300.93847656
159,11300.2353516
160,5791.68115234
161,3208.93237305
162,4771.09179688
163,7989.40136719
164,9005.76269531
165,6079.5625
166,6628.67871094
167,4891.73291016
168,5235.37646484
169,3260.37084961
170,5153.88427734
171,6401.23486328
172,7258.375
173,6772.02148438
174,7423.07373047
175,7619.03808594
176,9187.05859375
177,7524.84130859
178,5207.96240234
179,9592.45703125
180,10044.1835938
181,6155.96289062
182,7293.69189453
183,5209.04589844
184,6342.31933594
185,4222.42236328
186,7003.82128906
187,5330.12158203
188,9330.54785156
189,6644.40283203
190,8337.40625
191,7940.46191406
192,5284.71630859
193,7891.30322266
194,18957.9414062
195,10548.8847656
196,6073.64453125
197,2922.92700195
198,5865.8125
199,7764.47021484
200,5506.15722656
201,11837.7714844
202,18638.484375
203,4169.86328125
204,5585.23242188
205,8793.93359375
206,4902.55126953
207,8527.74902344
208,6296.25732422
209,7544.09375
210,5351.27294922
211,6005.98291016
212,5904.25292969
213,7251.88378906
214,8819.75488281
215,5709.50390625
216,5539.78857422
217,6943.12744141
218,5365.16455078
219,5127.40576172
220,5959.69091797
221,5387.14355469
222,5735.6171875
223,7314.60595703
224,5829.40185547
225,5768.78417969
226,6227.68994141
227,7085.50634766
228,7938.30371094
229,6873.09960938
230,7614.14892578
231,6196.95458984
232,3601.57275391
233,6460.45703125
234,6184.40673828
235,5957.44042969
236,5076.68115234
237,9233.25585938
238,7650.69335938
239,9263.78515625
240,7047.02832031
241,5716.62597656
242,5059.33105469
243,4499.57568359
244,9771.88964844
245,5237.38427734
246,7753.89453125
247,14525.4707031
248,7302.35107422
249,8209.33691406
250,5330.03515625
251,4584.03271484
252,7104.43408203
253,4246.66210938
254,5824.09960938
255,10596.6826172
256,5138.31396484
257,13744.7285156
258,13045.2675781
259,4784.78710938
260,7370.00732422
261,5736.19140625
262,7044.44091797
263,5397.50732422
264,11203.7695312
265,7743.34082031
266,10152.7109375
267,5096.7734375
268,7464.07421875
269,5139.54443359
270,7845.78564453
271,7033.86621094
272,6109.9375
273,6208.15966797
274,6194.95117188
275,8181.79833984
276,9492.9140625
277,6029.21191406
278,10251.7285156
279,6306.6015625
280,9366.33789062
281,5046.78955078
282,5620.74023438
283,5374.02539062
284,10337.8876953
285,6166.31787109
286,7903.12158203
287,6713.95751953
288,8083.78222656
289,5117.26220703
290,8664.05664062
291,7316.2109375
292,4071.23339844
293,12021.7509766
294,18002.625
295,6881.75878906
296,6338.95068359
297,8340.95410156
298,10258.203125
299,11307.2324219
300,5554.30712891
301,7657.88476562
302,5755.51074219
303,8200.61132812
304,4766.97509766
305,6075.00048828
306,5665.578125
307,5776.80664062
308,6970.31933594
309,5637.16992188
310,4871.61230469
311,7447.98095703
312,4191.82617188
313,4851.68994141
314,6173.16796875
315,6268.17236328
316,9224.96386719
317,8309.04980469
318,7524.95605469
319,6368.13037109
320,6125.00292969
321,11319.4042969
322,7031.08984375
323,6079.26660156
324,4968.93847656
325,7394.14404297
326,4613.07519531
327,6669.76318359
328,3352.93774414
329,4910.71386719
330,8912.86035156
331,5900.94824219
332,6686.49609375
333,9154.82617188
334,9506.88574219
335,11375.171875
336,6553.27197266
337,9688.29296875
338,2942.95239258
339,5432.1953125
340,6491.81152344
341,4453.69677734
342,7822.71875
343,4841.91650391
344,5679.59179688
345,9014.48535156
346,11320.4941406
347,9267.02832031
348,6038.75390625
349,5476.86621094
350,7939.59130859
351,7242.77294922
352,5747.11181641
353,5076.91845703
354,6499.32714844
355,9697.25097656
356,4646.02783203
357,6188.02978516
358,7819.60791016
359,8211.00488281
360,11935.5410156
361,5328.41894531
362,12906.3027344
363,6813.93554688
364,5294.74707031
365,3611.23999023
366,5930.54931641
367,6765.52636719
368,5385.9921875
369,7542.92773438
370,5336.27197266
371,4580.68457031
372,6968.58447266
373,4427.42675781
374,7567.48632812
375,6706.57128906
376,7824.65917969
377,8407.95996094
